City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
305,lethem,0,GY,1519030868,65,3.38,-59.8,73.32,11.81
306,yoichi,80,JP,1519030868,100,43.19,140.77,25.53,13.27
307,nouadhibou,32,MR,1519027200,72,20.93,-17.03,60.8,20.8
308,davenda,0,RU,1519030869,38,53.56,119.32,0.83,3.76
309,jalu,8,LY,1519030869,64,29.03,21.55,66.44,5.21
310,matara,64,LK,1519030870,84,5.95,80.54,85.02,1.74
311,viseu,92,BR,1519030739,92,-1.2,-46.14,77.6,4.76
312,tongchuan,20,CN,1519027200,43,34.9,108.95,51.8,4.47
313,synya,64,RU,1519030871,81,65.37,58.04,15.27,3.42
314,uhlove,64,UA,1519030871,100,44.82,33.6,38.0,10.02
315,anadyr,0,RU,1519027200,86,64.73,177.51,26.6,17.9
316,henties bay,0,NA,1519030872,100,-22.12,14.28,65.9,3.65
317,yeniseysk,80,RU,1519030872,70,58.45,92.17,9.42,6.55
318,noumea,0,NC,1519029000,69,-22.28,166.46,80.6,3.36
319,sheksna,88,RU,1519030873,95,59.21,38.5,21.26,5.77
320,turukhansk,68,RU,1519030873,75,65.8,87.96,5.42,8.46
321,arona,20,ES,1519029000,58,28.1,-16.68,59.0,5.82
322,egvekinot,92,RU,1519030875,87,66.32,-179.17,21.3,6.22
323,isiro,12,CD,1519030875,66,2.77,27.62,81.92,2.98
324,roald,0,NO,1519028400,100,62.58,6.12,35.6,5.82
325,lodja,88,CD,1519030876,93,-3.52,23.6,73.55,3.2
326,sao joao da barra,36,BR,1519030876,100,-21.64,-41.05,78.95,12.59
327,smoky lake,48,CA,1519030877,79,54.11,-112.47,-5.43,4.21
328,erenhot,0,CN,1519030877,29,43.65,111.97,22.16,15.61
329,lorengau,80,PG,1519030877,96,-2.02,147.27,83.67,13.71
330,hirara,0,JP,1519027200,69,24.8,125.28,73.4,12.75
331,nurota,68,UZ,1519027200,40,40.56,65.69,51.8,20.8
332,segamat,75,MY,1519027200,46,2.51,102.82,93.2,6.93
333,port moresby,8,PG,1519030879,91,-9.47,147.16,84.93,8.68
334,kieta,20,PG,1519030880,89,-6.22,155.63,82.46,1.74
335,sergeyevka,0,KZ,1519030880,92,53.88,67.42,15.41,9.8
336,riyadh,40,SA,1519027200,16,24.63,46.72,69.8,8.05
337,gerash,0,IR,1519027200,29,27.67,54.14,75.2,4.7
338,margate,92,ZA,1519030881,88,-30.86,30.37,76.7,11.7
339,nanortalik,20,GL,1519030881,100,60.14,-45.24,28.55,44.13
340,namibe,8,AO,1519030882,100,-15.19,12.15,77.51,5.99
341,necochea,44,AR,1519030625,100,-38.55,-58.74,65.99,7.0
342,cervo,92,ES,1519030883,100,43.67,-7.41,52.35,6.22
343,praya,40,ID,1519029000,78,-8.71,116.27,82.4,4.7
344,ostrovnoy,80,RU,1519030884,94,68.05,39.51,24.41,9.8
345,provideniya,92,RU,1519030884,95,64.42,-173.23,29.9,28.7
346,roura,92,GF,1519029000,94,4.73,-52.33,75.2,8.01
347,eyl,48,SO,1519030885,90,7.98,49.82,77.69,7.78
348,rockhampton,32,AU,1519027200,55,-23.38,150.51,86.0,14.99
349,mezen,88,RU,1519030886,82,65.85,44.24,18.11,3.2
350,axim,20,GH,1519027200,94,4.87,-2.24,77.0,9.24
351,locri,20,IT,1519026900,66,38.24,16.26,55.4,4.7
352,spirit river,20,CA,1519027200,70,55.78,-118.84,1.4,16.11
353,belaya gora,68,RU,1519030887,82,68.54,146.19,-13.13,7.0
354,lebu,24,CL,1519030887,99,-37.62,-73.65,58.7,3.98
355,kavaratti,0,IN,1519030888,100,10.57,72.64,81.02,0.96
356,tomatlan,64,MX,1519030888,92,19.93,-105.25,69.77,2.19
357,pueblo nuevo,0,MX,1519030889,70,23.99,-106.96,66.93,3.65
358,hays,75,US,1519029960,80,38.88,-99.33,35.6,25.28
359,rosignano marittimo,75,IT,1519029900,65,43.41,10.47,44.6,9.17
360,birao,48,CF,1519030889,25,10.3,22.78,85.65,11.14
361,mae sai,0,TH,1519027200,40,20.43,99.88,86.0,2.19
362,barda,88,RU,1519030890,79,56.93,55.59,17.21,8.01
363,samarai,8,PG,1519030891,100,-10.62,150.67,82.32,14.83
364,obo,88,CF,1519030891,78,5.39,26.49,77.15,4.65
365,leh,0,IN,1519030891,91,34.16,77.58,7.31,1.97
366,ossipee,90,US,1519030560,87,36.17,-79.51,48.2,6.93
367,zyryanskoye,88,RU,1519030892,89,56.83,86.62,8.39,12.15
368,fremont,1,US,1519029300,61,37.55,-121.99,44.6,14.99
369,skjervoy,20,NO,1519028400,73,70.03,20.97,26.6,10.29
370,sistranda,20,NO,1519028400,73,63.73,8.83,24.8,11.41
371,manoel urbano,88,BR,1519030895,97,-8.84,-69.26,73.91,3.2
372,bushtyno,0,UA,1519029000,74,48.05,23.49,33.8,4.7
373,windsor,75,US,1519030380,80,42.3,-83.03,33.8,4.7
374,dakar,0,SN,1519027200,93,14.69,-17.45,62.6,2.24
375,luba,20,GQ,1519027200,78,3.46,8.55,80.6,4.7
376,el llano,20,MX,1519030897,89,21.42,-105.18,61.08,2.42
377,balkanabat,92,TM,1519030897,76,39.51,54.36,44.25,2.64
378,urusha,20,RU,1519030897,42,54.05,122.9,-0.62,7.56
379,arman,20,RU,1519027200,55,59.7,150.17,6.8,4.47
380,alta floresta,88,BR,1519030898,96,-9.87,-56.08,71.75,1.19
381,gamboma,92,CG,1519030898,100,-1.87,15.88,73.91,6.22
382,hofn,90,IS,1519027200,93,64.25,-15.21,42.8,27.51
383,tuzha,88,RU,1519030900,89,57.61,47.94,18.47,7.11
384,fuling,64,CN,1519030900,100,29.71,107.39,50.87,3.65
385,banepa,40,NP,1519028400,40,27.63,85.52,69.8,5.82
386,khandyga,36,RU,1519030901,62,62.65,135.58,-34.37,2.42
387,bar harbor,1,US,1519030380,92,44.39,-68.2,19.4,5.21
388,korla,76,CN,1519030901,60,41.76,86.15,32.42,6.55
389,xai-xai,48,MZ,1519030902,94,-25.04,33.64,82.19,8.68
390,ocosingo,64,MX,1519030902,94,16.91,-92.09,60.05,3.09
391,straumen,0,NO,1519028400,78,63.87,11.3,19.4,10.29
392,areka,36,ET,1519030904,37,7.07,37.71,78.86,4.09
393,chunhuhub,0,MX,1519030904,80,19.59,-88.59,72.11,3.53
394,leshan,68,CN,1519030904,64,29.56,103.76,54.2,3.42
395,nalut,56,LY,1519030905,94,31.86,10.98,51.32,5.66
396,itupiranga,90,BR,1519030800,100,-5.13,-49.33,77.0,3.36
397,toora-khem,64,RU,1519030905,57,52.47,96.11,10.64,0.74
398,stromness,75,GB,1519028400,87,58.97,-3.3,44.6,11.41
399,raudeberg,20,NO,1519028400,100,61.99,5.14,33.8,8.05
400,havre-saint-pierre,40,CA,1519027200,91,50.23,-63.6,1.4,3.36
401,kavaje,90,AL,1519030200,93,41.18,19.56,50.0,3.36
402,ukiah,1,US,1519026960,69,39.15,-123.21,37.4,3.36
403,sampit,32,ID,1519030907,100,-2.54,112.95,79.22,7.11
404,san cristobal,100,EC,1519030907,100,-1.02,-79.44,60.45,0.63
405,glamoc,92,BA,1519030908,94,44.05,16.85,30.08,2.98
406,palembang,64,ID,1519030645,86,-2.99,104.76,83.0,4.09
407,kayes,0,ML,1519030908,34,14.44,-11.44,78.68,4.43
408,harlingen,75,NL,1519030080,100,53.18,5.41,41.0,6.93
409,gbarnga,88,LR,1519030909,81,7.0,-9.47,77.55,5.55
410,santa maria del oro,80,MX,1519030909,73,25.95,-105.37,43.76,4.99
411,dhidhdhoo,0,MV,1519030882,100,6.88,73.1,81.87,7.56
412,ust-maya,32,RU,1519030910,62,60.42,134.54,-21.63,3.65
413,feijo,88,BR,1519030910,97,-8.16,-70.35,74.09,5.99
414,batagay,44,RU,1519030911,62,67.65,134.64,-34.46,2.98
415,sambava,24,MG,1519030912,100,-14.27,50.17,82.32,7.78
416,kasempa,56,ZM,1519030912,77,-13.46,25.83,79.4,5.44
417,fengrun,0,CN,1519030913,52,39.83,118.12,42.68,4.54
